,ISBNs,output_types,years,country,unified_title,primary_occupations_main,primary_occupations_detailed,sciences,ABC outputs
30875,9783030149949,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,natural sciences,
30877,9783030127787,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,technological sciences,
30889,9783527341214,edited volumes,2019,Germany,John Wiley & Sons,academic publishers,academic publishers,technological sciences,
30898,9780128167601,edited volumes,2019,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
30907,9780128126592,edited volumes,2019,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
30913,9781493991785,edited volumes,2019,United States of America,Springer Nature,academic publishers,academic publishers,technological sciences,
30940,9780128096338,edited volumes,2019,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
30952,9781119380849,edited volumes,2019,United States of America,John Wiley & Sons,academic publishers,academic publishers,natural sciences,
30956,9781138560772,edited volumes,2019,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,natural sciences,
30957,9780815383819,edited volumes,2019,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,natural sciences,
30958,9783319978512,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,natural sciences,
30959,9783319600130,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,technological sciences,
30960,9783319940298,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,technological sciences,
30964,9780128114148,edited volumes,2019,United States of America,Elsevier,academic publishers,academic publishers,technological sciences,
30966,9781138347656,edited volumes,2019,United Kingdom,Informa (Taylor & Francis),academic publishers,academic publishers,medical and health sciences,
30968,9789811090257,edited volumes,2019,Singapore,Springer Nature,academic publishers,academic publishers,medical and health sciences,
30969,9780081023938,edited volumes,2019,United Kingdom,Elsevier,academic publishers,academic publishers,technological sciences,
33485,9786090138168,edited volumes,2019,Lithuania,Alma Littera,other publishers,general publishers,humanities,
33486,9789955267034,edited volumes,2019,Lithuania,Briedis,other publishers,general publishers,humanities,
33488,9786099558158,edited volumes,2019,Lithuania,Klasikų asociacija (Societas Classica),not publishers,societies,humanities,
33489,9783110500561,edited volumes,2019,Germany,Walter de Gruyter,academic publishers,academic publishers,humanities,
33491,9783319970004,authored books,2019,Switzerland,Springer Nature,academic publishers,academic publishers,humanities,
33492,9785444811368,authored books,2019,Russian Federation,Novoe literaturnoe obozrenie,other publishers,general publishers,humanities,
33493,9781789205329,authored books,2019,United Kingdom,Berghahn,academic publishers,academic publishers,humanities,
33494,9781498538695,authored books,2019,United States of America,Rowman & Littlefield,academic publishers,academic publishers,humanities,
33495,9786098222104,edited volumes,2019,Lithuania,Odilė,other publishers,general publishers,humanities,
33496,9786090702895,edited volumes,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33497,9786090701744,edited volumes,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33499,9782956684107,edited volumes,2019,France,Association Les Amis de Milosz,not publishers,societies,humanities,
33504,9786058193376,edited volumes,2019,Turkey,Duzce University,universities,university departments,humanities,
33507,9786098003239,edited volumes,2019,Lithuania,Kultūros barai,other publishers,general publishers,humanities,
33509,9780199772810,edited volumes,2019,United Kingdom,Oxford University Press,academic publishers,academic publishers,humanities,
33518,9786098120448,edited volumes,2019,Lithuania,Aukso žuvys,other publishers,general publishers,humanities,
33521,9786090702680,edited volumes,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33524,9783319973876,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,humanities,
33525,9783631659670,edited volumes,2019,Germany,Peter Lang,academic publishers,academic publishers,humanities,
